#;Název Nástroje;Kategorie;Fiktivní Inventární Kód;Cena Sterilizace (Kč/Použití Fikt.);UDI DataMatrix Kód (GS1 Formát)
1;Chirurgický držák jehel (Standard);Všeobecná Chirurgie;R-CH-0001;15,5;(01)08591712245824(10)PP001225(21)251129090747
2;Skalpelová rukojeť č. 3;Všeobecná Chirurgie;R-CH-0002;12;(01)08591712245824(10)PP001225(21)251129090847
3;Péán (svorka) rovný 16 cm;Všeobecná Chirurgie;R-CH-0003;14,8;(01)08591712245824(10)PP001225(21)251129090947
4;Pinzeta anatomická 14 cm;Všeobecná Chirurgie;R-CH-0004;11,2;(01)08591712245824(10)PP001225(21)251129091047
5;Nůžky Metzenbaum (zahnuté);Všeobecná Chirurgie;R-CH-0005;18,5;(01)08591712245824(10)PP001225(21)251129091147
6;Háky na rány (dvouramenné);Všeobecná Chirurgie;R-CH-0006;22;(01)08591712245824(10)PP001225(21)251129091247
7;Kleště na kost (Luer);Ortopedie/Trauma;R-OT-0007;28;(01)08591712245824(10)PP001225(21)251129091347
8;Dlahovací fréza (ortopedická);Ortopedie/Trauma;R-OT-0008;35;(01)08591712245824(10)PP001225(21)251129091447
9;Sada pro otevřenou repozici (šroubovák);Ortopedie/Trauma;R-OT-0009;45;(01)08591712245824(10)PP001225(21)251129091547
10;Ortopedická kostní lžíce;Ortopedie/Trauma;R-OT-0010;24,5;(01)08591712245824(10)PP001225(21)251129091647
11;Bipolární pinzeta (standardní);Diatermie;R-DI-0011;20,5;(01)08591712245824(10)PP001225(21)251129091747
12;Klippovač pro cévní chirurgii;Cévní Chirurgie;R-CV-0012;38;(01)08591712245824(10)PP001225(21)251129091847

