Název Přístroje,Kategorie,Inventární Číslo (Pro Skenování),Odhadovaná Životnost (Provozní Hodiny),Fiktivní UDI-PI Datový Klíč (GS1 DataMatrix Data)
Operační stůl (Elektrický) - Maquet,Operační stoly,A-OS-10001,45000,(01)08591234567891(11)241201(17)291130(21)AOS10001
Anesteziologický přístroj (High-End),ARO vybavení,A-OS-10002,35000,(01)08591234567892(11)230515(17)280514(21)AOS10002
Mobilní RTG C-Rameno (digitální),Zobrazování,A-OS-10003,28000,(01)08591234567893(11)240110(17)271231(21)AOS10003
Centrální monitorovací stanice,Monitorování,A-OS-10004,55000,(01)08591234567894(11)230920(17)300919(21)AOS10004
Stropní operační lampa (hlavní),Osvětlení,A-OS-10005,60000,(01)08591234567895(11)221101(17)321031(21)AOS10005
Ventilátor (transportní),ARO vybavení,A-OS-10006,20000,(01)08591234567896(11)250218(17)280217(21)AOS10006
Elektrokoagulátor (bipolární/monopolární),Diatermie,A-OS-10007,40000,(01)08591234567897(11)240725(17)310724(21)AOS10007
Chirurgická odsávačka (vysoký výkon),Odsávání,A-OS-10008,48000,(01)08591234567898(11)230301(17)300228(21)AOS10008
Laparoskopická věž (Full HD),Endoskopie/Laparoskopie,A-OS-10009,25000,(01)08591234567899(11)241010(17)291009(21)AOS10009
Endoskopická kamera a zdroj světla,Endoskopie/Laparoskopie,A-OS-10010,22000,(01)08591234567900(11)241105(17)281104(21)AOS10010
Peristaltická pumpa pro irigaci/aspiraci,Speciální pumpy,A-OS-10011,30000,(01)08591234567901(11)230812(17)290811(21)AOS10011
Ultrazvukový přístroj (mobilní),Zobrazování,A-OS-10012,26000,(01)08591234567902(11)250101(17)281231(21)AOS10012
Infuzní pumpa (dvoukanálová),ARO vybavení,A-OS-10013,42000,(01)08591234567903(11)240615(17)310614(21)AOS10013
Injektomat (přesná aplikace léků),ARO vybavení,A-OS-10014,42000,(01)08591234567904(11)240615(17)310614(21)AOS10014
Ohřívač krve a infuzních roztoků,ARO vybavení,A-OS-10015,38000,(01)08591234567905(11)230220(17)290219(21)AOS10015
Mikroskop pro neurochirurgii/ORL,Mikrochirurgie,A-OS-10016,32000,(01)08591234567906(11)240905(17)310904(21)AOS10016
Kryochirurgický přístroj,Speciální terapie,A-OS-10017,15000,(01)08591234567907(11)250310(17)270309(21)AOS10017
Laserový systém (CO2),Speciální terapie,A-OS-10018,18000,(01)08591234567908(11)240501(17)270430(21)AOS10018
Nádobí na nástroje (velký transportní vozík),Ostatní,A-OS-10019,Není relevantní,(01)08591234567909(11)220101(17)351231(21)AOS10019
Laminární proudění (jednotka OS),VZT/Filtrace,A-OS-10020,80000,(01)08591234567910(11)210801(17)360731(21)AOS10020
Operační stůl (Traumatologický),Operační stoly,A-OS-10021,35000,(01)08591234567911(11)230410(17)280409(21)AOS10021
Anesteziologický přístroj (záložní),ARO vybavení,A-OS-10022,30000,(01)08591234567912(11)240105(17)270104(21)AOS10022
RTG C-Rameno (menší model),Zobrazování,A-OS-10023,25000,(01)08591234567913(11)231120(17)271119(21)AOS10023
Monitor pacientský (multifunkční),Monitorování,A-OS-10024,40000,(01)08591234567914(11)240815(17)300814(21)AOS10024
Chirurgická lampa (satelitní),Osvětlení,A-OS-10025,60000,(01)08591234567915(11)230601(17)330531(21)AOS10025
