Název Nástroje / Materiálu,Kategorie,Kód EAN-13 ,Cena za Kus (Kč Fiktivní)
Sterilní chirurgický plášť XL,Ochranné pomůcky,8591000100001,320.0
Laparoskopický trokar 12 mm,Laparoskopie,8591000100002,1950.0
Vstřebatelný šicí materiál PDS II 3/0,Šicí materiály,8591000100003,580.0
Odsávací cévka Yankauer s kontrolou,Odsávací systémy,8591000100004,125.0
Endotracheální kanyla s manžetou č. 7.0,ARO materiál,8591000100005,160.0
Koagulační tužka (elektroda),Diatermie,8591000100006,210.0
Gázové břišní roušky s RTG nití (5 ks),Tampony a gáza,8591000100007,280.0
Foley katetr silikonový Ch16,Drény a katetry,8591000100008,195.0
Chirurgické rukavice (Pár 8.5),Ochranné pomůcky,8591000100009,45.0
Sterilní rouškovací set Standard,Rouškování,8591000100010,1200.0
Skalpel s čepelí č. 15,Instrumentárium,8591000100011,22.0
Návleky na obuv (pár),Ochranné pomůcky,8591000100012,6.5
Sada na epidurální anestezii,ARO materiál,8591000100013,990.0
Hemostatická želatinová houba 8x8 cm,Hemostyptika,8591000100014,650.0
Neurochirurgické odsávací kanyly (jemné),Speciální pomůcky,8591000100015,410.0
Vakuový drenážní systém Redon (baňka 400 ml),Drény a katetry,8591000100016,350.0
Šicí materiál Prolene 6/0 (nevstřebatelný),Šicí materiály,8591000100017,620.0
Injekční stříkačka 50 ml,Injekční technika,8591000100018,9.0
Krycí folie na operační pole (lepící),Rouškování,8591000100019,180.0
Laryngeální maska č. 4,ARO materiál,8591000100020,550.0
Laparoskopické nůžky (hákové),Laparoskopie,8591000100021,3500.0
Sterilní obvazový čtverec 20x20 cm (10 ks),Tampony a gáza,8591000100022,45.0
Peroperační cévní svorka (plastová),Instrumentárium,8591000100023,85.0
IV kanyla (růžová G20),Injekční technika,8591000100024,14.0
Chirurgická maska s vysokou filtrací (FFP2),Ochranné pomůcky,8591000100025,48.0
Laparoskopický port pro kameru,Laparoskopie,8591000100026,2100.0
Elektrokauterizační deska (jednoráz.),Diatermie,8591000100027,150.0
Set na biopsii jater (automatický),Speciální pomůcky,8591000100028,1100.0
Odpadní vak na infekční materiály,Ostatní,8591000100029,30.0
Sterilní krycí rouška na C-rameno,Rouškování,8591000100030,220.0
Drenážní trubice silikonová (univerzální),Drény a katetry,8591000100031,180.0
Endoskopický extrakční sáček,Endoskopické pomůcky,8591000100032,1450.0
Chirurgická čepice (typ bouffant),Ochranné pomůcky,8591000100033,5.5
Sada pro lumbální punkci,Speciální pomůcky,8591000100034,680.0
Jednorázová injekční jehla (G21),Injekční technika,8591000100035,1.2
Šicí materiál Vicryl Rapide 4/0,Šicí materiály,8591000100036,490.0
Chirurgické rukavice (Pár 7.0),Ochranné pomůcky,8591000100037,42.0
Krycí rouška na malou incizi,Rouškování,8591000100038,90.0
Drenážní vak s měřítkem,Drény a katetry,8591000100039,75.0
Skalpel s čepelí č. 22,Instrumentárium,8591000100040,25.0
Laparoskopická svorka (klipovač),Laparoskopie,8591000100041,4500.0
Gázové tampony s RTG nití (malé),Tampony a gáza,8591000100042,19.0
Dětská IV kanyla (žlutá G24),Injekční technika,8591000100043,16.0
T-Drén pro žlučové cesty,Drény a katetry,8591000100044,480.0
Sterilní obvaz na ránu s poduškou,Tampony a gáza,8591000100045,38.0
Respirační filtr HMEF,ARO materiál,8591000100046,70.0
Jehelec s rukojetí (jednoráz.),Instrumentárium,8591000100047,350.0
Ortopedický kostní cement (malé balení),Speciální pomůcky,8591000100048,3800.0
Set pro centrální žilní katetrizaci,Drény a katetry,8591000100049,1550.0
Hadice k odsávání (prodloužená),Odsávací systémy,8591000100050,45.0
Rouškovací set pro oční operace,Rouškování,8591000100051,850.0
Endoskopická drátěná smyčka,Endoskopické pomůcky,8591000100052,990.0
Šicí materiál Maxon 2/0 (monofil),Šicí materiály,8591000100053,520.0
Koagulační pinzeta (bipolární),Diatermie,8591000100054,2800.0
