#,Název Nástroje,Kategorie,Fiktivní Inventární Kód,Cena Sterilizace (Kč/Použití Fikt.),UDI DataMatrix Kód (GS1 Formát)
1,Chirurgický držák jehel (Standard),Všeobecná Chirurgie,R-CH-0001,15.5,(01)08591712245824(10)PP001225(21)251129090747
2,Skalpelová rukojeť č. 3,Všeobecná Chirurgie,R-CH-0002,12.0,(01)08591712245824(10)PP001225(21)251129090847
3,Péán (svorka) rovný 16 cm,Všeobecná Chirurgie,R-CH-0003,14.8,(01)08591712245824(10)PP001225(21)251129090947
4,Pinzeta anatomická 14 cm,Všeobecná Chirurgie,R-CH-0004,11.2,(01)08591712245824(10)PP001225(21)251129091047
5,Nůžky Metzenbaum (zahnuté),Všeobecná Chirurgie,R-CH-0005,18.5,(01)08591712245824(10)PP001225(21)251129091147
6,Háky na rány (dvouramenné),Všeobecná Chirurgie,R-CH-0006,22.0,(01)08591712245824(10)PP001225(21)251129091247
7,Kleště na kost (Luer),Ortopedie/Trauma,R-OT-0007,28.0,(01)08591712245824(10)PP001225(21)251129091347
8,Dlahovací fréza (ortopedická),Ortopedie/Trauma,R-OT-0008,35.0,(01)08591712245824(10)PP001225(21)251129091447
9,Sada pro otevřenou repozici (šroubovák),Ortopedie/Trauma,R-OT-0009,45.0,(01)08591712245824(10)PP001225(21)251129091547
10,Ortopedická kostní lžíce,Ortopedie/Trauma,R-OT-0010,24.5,(01)08591712245824(10)PP001225(21)251129091647
11,Bipolární pinzeta (standardní),Diatermie,R-DI-0011,20.5,(01)08591712245824(10)PP001225(21)251129091747
12,Klippovač pro cévní chirurgii,Cévní Chirurgie,R-CV-0012,38.0,(01)08591712245824(10)PP001225(21)251129091847
13,"Cévní svorka (atraumatická, DeBakey)",Cévní Chirurgie,R-CV-0013,21.5,(01)08591712245824(10)PP001225(21)251129091947
14,Jemný držák jehel (mikrochirurgie),Neurochirurgie,R-NC-0014,28.8,(01)08591712245824(10)PP001225(21)251129092047
15,Retraktor pro neurochirurgii (ruční),Neurochirurgie,R-NC-0015,32.0,(01)08591712245824(10)PP001225(21)251129092147
16,Nástroj pro laminektomii,Neurochirurgie,R-NC-0016,35.5,(01)08591712245824(10)PP001225(21)251129092247
17,Zaváděč stentů (opakovaně použ.),Kardiologie,R-KA-0017,42.0,(01)08591712245824(10)PP001225(21)251129092347
18,Aortální svorka (kardiochirurgie),Kardiologie,R-KA-0018,31.0,(01)08591712245824(10)PP001225(21)251129092447
19,Gynekologický spekulum (kovové),Gynekologie,R-GY-0019,19.0,(01)08591712245824(10)PP001225(21)251129092547
20,Děložní kyreta (opakov. použ.),Gynekologie,R-GY-0020,23.5,(01)08591712245824(10)PP001225(21)251129092647
21,Laparoskopická rukojeť (demontovatelná),Laparoskopie,R-LA-0021,38.5,(01)08591712245824(10)PP001225(21)251129092747
22,Laparoskopický uchopovač (čelisti),Laparoskopie,R-LA-0022,41.0,(01)08591712245824(10)PP001225(21)251129092847
23,Rigidní endoskop (optika 0°),Endoskopie,R-EN-0023,55.0,(01)08591712245824(10)PP001225(21)251129092947
24,Světlovodný kabel (opakovaně použ.),Endoskopie,R-EN-0024,25.0,(01)08591712245824(10)PP001225(21)251129093047
25,ORL zrcátko (dlouhý krk),ORL,R-ORL-0025,16.5,(01)08591712245824(10)PP001225(21)251129093147
26,Nosní spekulum (Killian),ORL,R-ORL-0026,18.0,(01)08591712245824(10)PP001225(21)251129093247
27,Urologická cévkovací pinzeta,Urologie,R-UR-0027,15.0,(01)08591712245824(10)PP001225(21)251129093347
28,Cystoskop (rigidní),Urologie,R-UR-0028,58.0,(01)08591712245824(10)PP001225(21)251129093447
29,Dětský držák jehel,Pediatrie,R-PE-0029,17.5,(01)08591712245824(10)PP001225(21)251129093547
30,Oční mikro-pinzeta,Oftalmologie,R-OF-0030,25.5,(01)08591712245824(10)PP001225(21)251129093647
31,Rukojeť pro dermatom (Plastická chirurgie),Plastická Chirurgie,R-PL-0031,35.0,(01)08591712245824(10)PP001225(21)251129093747
32,Hák pro plastickou chirurgii (jemný),Plastická Chirurgie,R-PL-0032,19.5,(01)08591712245824(10)PP001225(21)251129093847
33,"Jehlový držák (velký, robustní)",Všeobecná Chirurgie,R-CH-0033,16.5,(01)08591712245824(10)PP001225(21)251129093947
34,Nůžky Mayo (rovné),Všeobecná Chirurgie,R-CH-0034,17.0,(01)08591712245824(10)PP001225(21)251129094047
35,Zavaděč drénu (kovový),Všeobecná Chirurgie,R-CH-0035,20.0,(01)08591712245824(10)PP001225(21)251129094147
36,Pinzeta chirurgická 20 cm,Všeobecná Chirurgie,R-CH-0036,13.0,(01)08591712245824(10)PP001225(21)251129094247
37,Raspatórium (kostní škrabka),Ortopedie/Trauma,R-OT-0037,26.0,(01)08591712245824(10)PP001225(21)251129094347
38,Zavaděč nitě (pro kosti),Ortopedie/Trauma,R-OT-0038,30.0,(01)08591712245824(10)PP001225(21)251129094447
39,Kleště na dráty (ortopedické),Ortopedie/Trauma,R-OT-0039,29.5,(01)08591712245824(10)PP001225(21)251129094547
40,"Odsávací koncovka (kovová, opak. použ.)",Odsávání,R-CH-0040,14.0,(01)08591712245824(10)PP001225(21)251129094647
41,Bipolární kabel,Diatermie,R-DI-0041,18.0,(01)08591712245824(10)PP001225(21)251129094747
42,Aneurysmatická svorka (dočasná),Cévní Chirurgie,R-CV-0042,22.5,(01)08591712245824(10)PP001225(21)251129094847
43,Jemné háky na cévy,Cévní Chirurgie,R-CV-0043,19.8,(01)08591712245824(10)PP001225(21)251129094947
44,Kleště na klipy (mikrochirurgie),Neurochirurgie,R-NC-0044,35.0,(01)08591712245824(10)PP001225(21)251129095047
45,Sada na disektomii (základní),Neurochirurgie,R-NC-0045,48.0,(01)08591712245824(10)PP001225(21)251129095147
46,Hlava pro neuroendoskop,Neurochirurgie,R-NC-0046,45.5,(01)08591712245824(10)PP001225(21)251129095247
47,Stěrka na sternum (kardiochirurgie),Kardiologie,R-KA-0047,28.0,(01)08591712245824(10)PP001225(21)251129095347
48,Žilní svorka (velká),Kardiologie,R-KA-0048,24.0,(01)08591712245824(10)PP001225(21)251129095447
49,Vaginální retraktor,Gynekologie,R-GY-0049,20.5,(01)08591712245824(10)PP001225(21)251129095547
50,Pochva pro hysteroskop,Gynekologie,R-GY-0050,38.0,(01)08591712245824(10)PP001225(21)251129095647
51,Laparoskopický držák jehel,Laparoskopie,R-LA-0051,45.0,(01)08591712245824(10)PP001225(21)251129095747
52,Laparoskopické nůžky (zahnuté),Laparoskopie,R-LA-0052,42.5,(01)08591712245824(10)PP001225(21)251129095847
53,Flexibilní endoskop (mycí hlava),Endoskopie,R-EN-0053,58.0,(01)08591712245824(10)PP001225(21)251129095947
54,Bioptické kleště (opakov. použ.),Endoskopie,R-EN-0054,35.0,(01)08591712245824(10)PP001225(21)251129100047
55,Zrcátko pro laryngoskopii,ORL,R-ORL-0055,17.0,(01)08591712245824(10)PP001225(21)251129100147
56,Jazyková špachtle (kovová),ORL,R-ORL-0056,13.5,(01)08591712245824(10)PP001225(21)251129100247
57,Ureteroskop (rigidní),Urologie,R-UR-0057,62.0,(01)08591712245824(10)PP001225(21)251129100347
58,Urologický zavaděč (kovový),Urologie,R-UR-0058,25.0,(01)08591712245824(10)PP001225(21)251129100447
